First Name,Last Name,URL,Email Address,Company,Position,Connected On
Saurabh,Sharma,https://www.linkedin.com/in/saurabh-17242263,,Oracle,Consulting Member of Technical Staff,06 Aug 2025
Priya,Patel,https://www.linkedin.com/in/priya-patel-12345678,,Google,Software Engineer,15 Jul 2024
Amit,Verma,https://www.linkedin.com/in/amit-verma-87654321,,Microsoft,Product Manager,22 Mar 2023
Riya,Gupta,https://www.linkedin.com/in/riya-gupta-23456789,,Amazon,Data Scientist,10 Jan 2022
John,Doe,https://www.linkedin.com/in/john-doe-98765432,,Meta,UX Designer,05 Sep 2021
Meera,Joshi,https://www.linkedin.com/in/meera-joshi-34567890,,Deloitte,Consultant,18 Nov 2020
Raj,Kapoor,https://www.linkedin.com/in/raj-kapoor-45678901,,Apple,Hardware Engineer,27 May 2019
Anjali,Mehta,https://www.linkedin.com/in/anjali-mehta-56789012,,Uber,Operations Manager,13 Feb 2018
Vikram,Desai,https://www.linkedin.com/in/vikram-desai-67890123,,Airbnb,Marketing Lead,30 Jun 2017
Sara,Ali,https://www.linkedin.com/in/sara-ali-78901234,,Walmart,Supply Chain Analyst,21 Dec 2016
Michael,Smith,https://www.linkedin.com/in/michael-smith-23456789,,LinkedIn,Data Engineer,12 Oct 2023
Jessica,Jones,https://www.linkedin.com/in/jessica-jones-34567890,,Salesforce,Account Executive,23 Sep 2023
Robert,Brown,https://www.linkedin.com/in/robert-brown-45678901,,IBM,Cloud Architect,05 Aug 2023
Emily,Davis,https://www.linkedin.com/in/emily-davis-56789012,,Oracle,Database Administrator,17 Jul 2023
Daniel,Garcia,https://www.linkedin.com/in/daniel-garcia-67890123,,Cisco,Network Engineer,29 Jun 2023
Sophia,Martinez,https://www.linkedin.com/in/sophia-martinez-78901234,,Intel,Hardware Engineer,10 May 2023
James,Lopez,https://www.linkedin.com/in/james-lopez-89012345,,Nvidia,Software Engineer,22 Apr 2023
Olivia,Hernandez,https://www.linkedin.com/in/olivia-hernandez-90123456,,Qualcomm,Product Manager,03 Mar 2023
William,Wilson,https://www.linkedin.com/in/william-wilson-01234567,,Adobe,UX Designer,15 Feb 2023
Isabella,Anderson,https://www.linkedin.com/in/isabella-anderson-12345678,,Spotify,Data Scientist,28 Jan 2023
Ethan,Thomas,https://www.linkedin.com/in/ethan-thomas-23456789,,Snap,Marketing Specialist,10 Dec 2022
Mia,Taylor,https://www.linkedin.com/in/mia-taylor-34567890,,Pinterest,Content Strategist,22 Nov 2022
Alexander,Moore,https://www.linkedin.com/in/alexander-moore-45678901,,Yahoo,Software Engineer,04 Oct 2022
Charlotte,Jackson,https://www.linkedin.com/in/charlotte-jackson-56789012,,Netflix,Product Designer,16 Sep 2022
Benjamin,White,https://www.linkedin.com/in/benjamin-white-67890123,,Tesla,Electrical Engineer,28 Aug 2022
